AAA,Anaa,GLF
ATJ,Antsirabe,ATJ
ATK,Atqasuk,ATK
ATL,William B Hartsfield,ATL
ATM,Altamira,ATM
ATP,Aitape Airstrip,ATP
ATQ,Raja Sansi,ATQ
ATR,Mouakchott,ATR
ATT,Atmautluak,ATT
ATV,Ati,ATV
ATW,Outagamie County,ATW
ATY,Watertown,ATY
ATZ,Assiut,ATZ
AUA,Reina Beatrix,AUA
AUC,Arauca,AUC
AUG,Augusta,AUG
AUH,Abu Dhabi Int'l,AUH
AUJ,Ambunti,AUJ
AUK,Alakanuk,AUK
AUP,Agaun,AUP
AUQ,Atuona,AUQ
AUR,Aurillac,AUR
AUS,Robert Mueller Municipal,AUS
AUU,Aurukun Mission,AUU
AUX,Araguaina,AUX
AUY,Aneityum,AUY
AVI,Ciego De Avila,AVI
AVL,Asheville Municipal,AVL
AVN,Avignon,AVN
AVP,Scranton Int'l,AVP
AVU,Avu Avu,AVU
AVV,,AVV
AVW,Avra Valley,TUS
AVX,Avalon Bay,AVX
AWA,Awassa,AWA
AWB,AWABA,AWB
AWD,Aniwa,AWD
AWH,Awareh,AWH
AWZ,Ahwaz,AWZ
AXA,Wallblake,AXA
AXD,Demokritos,AXD
AXK,Ataq,AXK
AXM,El Eden,AXM
AXP,Spring Point,AXP
AXR,Arutua,AXR
AXT,Akita,AXT
AXU,Axum,AXU
AYG,Yaguara,AYG
AYP,Yanamilla,AYP
AYQ,Connellan,AYQ
AYT,Antalya,AYT
AYW,Ayawasi,AYW
AZA,Phoenix-Mesa Gateway ,PHX
AZB,Amazon Bay,AZB
AZD,Yazd,AZD
AZN,Andizhan,AZN
AZO,Battle Creek Int'l,AZO
AZP,Atizapan,MEX
AZR,Adrar,AZR
AZS,Samana El Catey Intl Airport,AZS
AZZ,Ambriz,AZZ
BAA,Bialla,BAA
BAG,Loakan,BAG
BAH,Bahrain Int'l,BAH
BAI,BUENOS AIRES,BAI
BAL,Batman,BAL
BAO,Ban Mak Khaen Airport,BAO
BAQ,E Cortissoz,BAQ
BAS,Balalae,BAS
BAU,Bauru,BAU
BAV,Baotou,BAV
BAX,Barnaul,BAX
BAY,Baia Mare,BAY
BAZ,Barcelos Airport,BAZ
BBA,Balmaceda Airport,BBA
BBF,Burlington,BBF
BBG,Butaritari,BBG
BBH,Stralsund Barth Airport,BBH
BBI,Bhubaneswar,BBI
BBK,Kasane,BBK
BBN,Bario,BBN
BBO,Berbera,BBO
BBQ,Barbuda,BBQ
BBS,Blackbush,BBS
BBT,Berberati,BBT
BBU,Baneasa,BUH
BBV,Bereby,BBV
BBX,Wings Field,PHL
BBY,Bambari,BBY
BCA,Baracoa,BCA
BCD,Bacolod,BCD
BCE,Bryce,BCE
BCF,Bouca,BCF
BCL,Barra del Colorado Airport,BCL
BCM,Bacau,BCM
BCN,Barcelona,BCN
BCO,Jinka,BCO
BCT,Public Non Commercial,BCT
BCU,Bauchi,BCU
BCY,Bulchi,BCY
BCZ,Bickerton Island,BCZ
BDA,Bermuda Int'l,BDA
BDB,Bundaberg,BDB
BDD,Badu Island,BDD
BDH,Bandar Lengeh,BDH
BDI,Bird Island,BDI
BDJ,Sjamsudin Noor,BDJ
BDK,Bondoukou,BDK
BDL,Bradley Int'l,HFD
BDO,Husein Sastranegara,BDO
BDQ,Vadodara,BDQ
BDR,Igor I. Sikorsky Memorial,BDR
BDS,Papola Casale,BDS
BDT,Gbadolite,BDT
BDU,Bardufoss,BDU
BEB,Benbecula,BEB
BEC,Wichita Beech,ICT
BED,Hanscom Field,BED
BEF,Bluefields,BEF
BEG,Beograd,BEG
BEI,Beica,BEI
BEJ,Berau,BEJ
BEL,Val De Cans,BEL
BEM,Bossembele,BEM
BEN,Benina Int'l,BEN
BEO,Belmont,NTL
BEP,Bellary,BEP
BER,Berlin - All Airports,BER
BES,Guipavas,BES
BET,Bethel,BET
BEW,Beira,BEW
BEY,Beirut Int'l,BEY
BEZ,Beru,BEZ
BFC,Bloomfield,BFC
BFD,Bradford,BFD
BFF,Scotts Bluff County,BFF
BFI,King County Intl Airport,BFI
BFL,Meadows Field,BFL
BFN, Bloemfontein,BFN
BFO,Buffalo Range,BFO
BFS,Belfast Int'l,BFS
BFV,Buriram Airport,BFV
BFX,Bafoussam,BFX
BGA,Bucaramanga,BGA
BGB,Booue,BGB
BGC,Braganca,BGC
BGF,Bangui,BGF
BGG,Bingol Airport,BGG
BGH,Abbaye,BGH
BGI,Grantley Adams Int'l,BGI
BGJ,Borgarfjordur Eystri,BGJ
BGK,Big Creek,BGK
BGM,Binghamton,BGM
BGO,Flesland,BGO
BGR,Bangor Internationa,BGR
BGU,Bangassou,BGU
BGW,Baghdad International Airport,BGW
BGY,Orio Al Serio,MIL
BHA,Bahia De Caraquez,BHA
BHB,Bar Harbour,BHB
BHC,Bhurban Heliport,BHC
BHD,Belfast City,BFS
BHE,Blenheim,BHE
BHG,Brus Laguna,BHG
BHH,Bisha Domestic Airport,BHH
BHI,Comandante,BHI
BHJ,Rudra Mata,BHJ
BHK,Bukhara,BHK
BHM,Birmingham,BHM
BHN,Beihan,BHN
BHO,Bhopal,BHO
BHP,BHOJPUR,BHP
BHQ,Broken Hill,BHQ
BHS,Raglan,BHS
BHU,Bhavnagar,BHU
BHX,Birmingham Int'l,BHX
BHY,Beihai,BHY
BIA,Poretta,BIA
BID,Block Island,BID
BIH,Bishop,BIH
BII,Enyu Airfield,BII
BIK,Mokmer,BIK
BIL,Billings,BIL
BIM,Bimini Int'l,BIM
BIO,Bilbao,BIO
BIQ,Bayonne Anglet,BIQ
BIR,Biratnagar,BIR
BIS,Bismarck,BIS
BIV,Bria,BIV
BIY,Bisho,BIY
BJA,Bejaia,BJA
BJD,Bakkafjordur,BJD
BJF,Batsfjord,BJF
BJI,Bemidji,BJI
BJL,Yundum Int'l,BJL
BJM,Bujumbura Int'l,BJM
BJO,Bermejo,BJO
BJR,Bahar Dar,BJR
BJS,Beijing (All Airport),BJS
BJV,Milas,BXN
BJW,Bajawa,BJW
BJX,Guanajuato del Bajio,BJX
BKA,Bykovo,MOW
BKB,,BKB
BKC,Buckland,BKC
BKG,Branson Airport,BKG
BKI,Kota Kinabalu,BKI
BKJ,Boke,BKJ
BKK,Bangkok Int'l,BKK
BKL,Burke Lakefront,CLE
BKM,Bakalalan,BKM
BKN,BKN,BKN
BKO,Bamako,BKO
BKQ,Blackall,BKQ
BKR,Bokoro,BKR
BKS,Padangkemiling,BKS
BKU,Betioky,BKU
BKW,Beckley,BKW
BKX,Brookings,BKX
BKY,Kamenbe,BKY
BKZ,Bukoba,BKZ
BLA,Barcelonagen Ja A Anzoategui,BLA
BLB,Panama Pacifico,BLB
BLC,Bali,BLC
BLE,Dala,BLE
BLF,Mercer County,BLF
BLG,Belaga,BLG
BLI,Bellingham,BLI
BLK,Blackpool,BLK
BLL,Billund,BLL
BLQ,Guglielmo Marconi,BLQ
BLR,Kempegowda International Airport,BLR
BLT,Blackwater,BLT
BLZ,Chileka,BLZ
BMA,Bromma,STO
BMB,Bumba,BMB
BMD,Belo,BMD
BME,Broome,BME
BMF,Bakouma,BMF
BMG,Bloomington,BMG
BMI,Bloomington,BMI
BMK,Borkum,BMK
BMM,Bitam,BMM
BMN,Bamerny Airport,BMN
BMO,Bhamo,BMO
BMP,Brampton Island,BMP
BMQ,Bamburi,BMQ
BMU,Bima,BMU
BMV,Phung - Duc,BMV
BMW,Bordj Badji Mokht,BMW
BMY,Belep Island,BMY
BNA,Nashville,BNA
BNB,Boende,BNB
BNC,Beni,BNC
BND,Bandar Abbas,BND
BNE,Brisbane Airport,BNE
BNI,Benin City,BNI
BNK,Ballina,BNK
BNN,Bronnoy,BNN
BNR,Banfora,BNR
BNS,Barinas,BNS
BNW,Boone Municipal Airport,BNW
BNX,Banja Luka Intl Airport,BNX
BNY,Bellona,BNY
BOA,BOMA,BOA
BOB,Motu-Mute,BOB
BOC,Bocas Del Toro,BOC
BOD,Merignac,BOD
BOE,Boundji,BOE
BOG,Eldorado,BOG
BOH,Bournemouth Int'l,BOH
BOI,Boise Air Term. (Gowen Field),BOI
BOJ,Bourgas,BOJ
BOM,Mumbai,BOM
BON,Flamingo Int'l,BON
BOO,Bodo,BOO
BOP,Bouar,BOP
BOR,Fontaine,BOR
BOS,Logan Int'l,BOS
BOX,Borroloola,BOX
BOY,Borgo,BOY
BOZ,Bozoum,BOZ
BPC,Bamenda,BPC
BPG,Barra Do Garcas,BPG
BPM,Begumpet Airport,BPM
BPN,Sepingan,BPN
BPR,Borongan Airport,BPR
BPS,Porto Seguro,BPS
BPT,Jefferson County,BPT
BPY,Besalampy,BPY
BQB,Busselton,BQB
BQK,Glynco Jetport,SSI
BQL,Boulia,BQL
BQN,Borinquen,BQN
BQO,Bouna,BQO
BQT,Brest,BQT
BR3,Brazil Airport,BR2
BRA,Barreiras,BRA
BRC,Bariloche Int'l,BRC
BRD,Crow Wing County,BRD
BRE,Bremen,BRE
BRG,Whitesburg Municipal Airport,BRG
BRI,Palese,BRI
BRK,Bourke,BRK
BRL,Burlington,BRL
BRM,Barquisimeto,BRM
BRN,Belp,BRN
BRO,Bouth Padre Is. Int'l,BRO
BRQ,Turany,BRQ
BRR,North Bay,BRR
BRS,Bristol,BRS
BRT,Bathurst Island,BRT
BRU,Brussels National,BRU
BRV,Bremerhaven,BRV
BRW,Will Rogers Memorial,BRW
BSA,Bossaso,BSA
BSB,Brasilia Int'l,BSB
BSC,Bahia Solano,BSC
BSG,Bata,BSG
BSJ,Bairnsdale,BSJ
BSK,Biskra,BSK
BSL,Basel Euroairport,BSL
BSN,Bossangoa,BSN
BSO,Basco Airport,BSO
BSP,Bensbach,BSP
BSR,Basra International Airport,BSR
BST,Bost,BST
BSU,Basankusu,BSU
BSV,Besakoa,BSV
BTA,Bertoua,BTA
BTB,Betou,BTB
BTE,Bonthe,BTE
BTG,Batangafo,BTG
BTH,Hang Nadim,BTH
BTI,Barter Island,BTI
BTJ,Blang Bintang,BTJ
BTK,Bratsk,BTK
BTL,Wk Kellogg Regional,BTL
BTM,Butte,BTM
BTR,Ryan,BTR
BTS,Ivanka,BTS
BTT,Bettles,BTT
BTU,Bintulu,BTU
BTV,Burlington Int'l,BTV
BTZ, BURSA,BTZ
BUA,Buka,BUA
BUC,Burketown,BUC
BUD,Ferihegy,BUD
BUE,Buenos Aires (All Airports),BUE
BUF,Greater Buffalo Int'l,BUF
BUG,Gen V Deslande,BUG
BUH,Bucharest (All Airport),BUH
BUI,Bokondini,BUI
BUK,Albuq,BUK
BUL,Bulolo,BUL
BUN,Buenaventura,BUN
BUO,Burao,BUO
BUP,Bhatinda,BUP
BUQ,Bulawayo,BUQ
BUR,Burbank,BUR
BUS,Batumi,BUS
BUT,Bathpalathang Airport,BUT
BUW,Baubau,BUW
BUX,Bunia,BUX
BUZ,Bushehr,BUZ
BVA,Beauvais-Tille,PAR
BVB,Boa Vista,BVB
BVC,Rabil,BVC
BVE,Laroche,BVE
BVG,Berlevag,BVG
BVH,Vilhena,BVH
BVI,Birdsville,BVI
BVM,Belmonte,BVM
BWA,BWA,BWA
BWD,Brownwood,BWD
BWE,Braunschweig,BWE
BWG,Bowling Green - Warren County Airport,BWG
BWI,Baltimore,WAS
BWK,Brac Airport,BWK
BWN,Brunei Int'l,BWN
BWT,Burnie Wynyard,BWT
BXB,Babo,BXB
BXC,Boxborough,BXC
BXD,Bade,BXD
BXE,Bakel,BXE
BXI,Boundiali,BXI
BXM,Batom,BXM
BXN,Bodrum Imsik Airport,BXN
BXU,Butuan,BXU
BXV,Breiddalsvik,BXV
BYB,Dibaa,BYB
BYC,Yacuiba,BYC
BYK,Bouake,BYK
BYM,C.M. De Cespedes,BYM
BYO,Bonito Airport,BYO
BYU,Bindlacher-Berg,BYU
BYX,Baniyala,BYX
BZE,Philip S.W. Goldson Int'l,BZE
BZG,Bydgoszcz Ignacy Jan Paderewski Airport,QEO
BZL,Barisal Airport,BZL
BZM,Woensdrecht,BZM
BZN,Galltin Field,BZN
BZO,Bolzano,BZO
BZR,Beziers Vias,BZR
BZV,Maya Maya,BZV
CAB,Cabinda,CAB
CAC,Cascavel,CAC
CAE,Columbia Metropolitan,CAE
CAG,Elmas,CAG
CAI,Cairo Int'l,CAI
CAJ,Canaima,CAJ
CAK, Akron,CAK
CAL,Machrihanish,CAL
CAM,Camiri,CAM
CAN,Baiyun,CAN
CAP,Cap Haitien,CAP
CAQ,Caucasia,CAQ
CAS,Casablanca - Anfa,CAS
CAV,Cazombo,CAV
CAW,Bartolomeu Lisandro,CAW
CAX,Carlisle,CAX
CAY,Rochambeau,CAY
CBB,J Wilsterman,CBB
CBD,Car Nicobar,CBD
CBE, WILEY FORD,CBE
CBG,Cambridge,CBG
CBH,Leger,CBH
CBL,Ciudad Bolivar,CBL
CBN,Penggung,CBN
CBO,Awang,CBO
CBQ,Calabar,CBQ
CBR,Canberra,CBR
CBT,Catumbela,CBT
CBX,Condobolin,CBX
CCC,Cayo Coco Airport,CCC
CCF,Salvaza,CCF
CCJ,Calicut International,CCJ
CCK,Cocos Islands,CCK
CCM,Crisciuma,CCM
CCN,Chakcharan,CCN
CCO,Carimagua,CCO
CCP,Carriel Sur,CCP
CCR,Buchanan Field,CCR
CCS,Simon Bolivar,CCS
CCT,Colonia Catriel,CCT
CCU,Netaji Subhas Chandra Bose,CCU
CCV,Craig Cove,CCV
CCZ,Chub Cay,CCZ
CDB,Cold Bay,CDB
CDC,Cedar City,CDC
CDG,Charles De Gaulle,PAR
CDJ,Conceicao Do Arag,CDJ
CDP,Cuddapah Airport,CDP
CDR,Chadron,CDR
CDT,Castellon de la Plana,CDT
CDV,Mudhole Smith,CDV
CEA,Cessna Aircraft Field,ICT
CEB,Cebu,CEB
CEC,Mc Namara Field,CEC
CED,Ceduna,CED
CEF,Westover Metro,SFY
CEI,Chiang Rai,CEI
CEK,Chelyabinsk,CEK
CEN,Ciudad Obregon,CEN
CEO,Waco Kungo,CEO
CEQ,Cannes - Mandelieu,CEQ
CER,Maupertus,CER
CES,Cessnock,CES
CEZ,Montezuma County,CEZ
CFB,Cabo Frio,CFB
CFC,Cacador Airport,CFC
CFE,Aulnat,CFE
CFG,Jaime GonzÃ¡lez Airport,CFG
CFK,Aboubakr Belkaid,CFK
CFN,Donegal,CFN
CFO,Confreza,CFO
CFR,Carpiquet,CFR
CFS,Coffs Harbour,CFS
CFU,Kerkyra,CFU
CGB,M. Rondon,CGB
CGD,Changde Taohuayuan Airport,CGD
CGF,Cuyahoga County,CLE
CGH,Congonhas,SAO
CGI,Cape Girardeau,CGI
CGK,Soekarno-Hatta Int'l,JKT
CGM,Camiguin Airport,CGM
CGN,Cologne,CGN
CGO,Zhengzhou,CGO
CGP,Patenga,CGP
CGQ,Changchun,CGQ
CGR,Campo Grande Int'l,CGR
CGS,College Park,CGS
CGY,Laguindingan Airport,CGY
CHA,Lovell Field,CHA
CHC,Christchurch,CHC
CHH,Chachapoyas,CHH
CHI,Chicago airports,CHI
CHM,Chimbote,CHM
CHO,Albemarle,CHO
CHQ,Souda,CHQ
CHR,Chateauroux,CHR
CHS,Charleston,CHS
CHU,Chuathbaluk,CHU
CHX,Changuinola,CHX
CHY,Choiseul Bay,CHY
CIA,Rome Ciampino,ROM
CIB,Ap In The Sky,AVX
CIC,Chico,CIC
CID,Cedar Rapids,CID
CIE,Collie Airport,CIE
CIF,Chifeng,CIF
CIH,Changzhi,CIH
CIJ,E. Beltram,CIJ
CIK,Chalkyitsik,CIK
CIL,Melsing Creek,CIL
CIM,Cimitarra,CIM
CIP,Chipata,CIP
CIT,Chimkent,CIT
CIU,Chippewa County,SSM
CIW,Canouan Island,CIW
CIX,Cornel Ruiy,CIX
CIY,Comiso Ragusa Airport,CIY
CIZ,Coari Airport,CIZ
CJA,Cajamarca,CJA
CJB,Peelamedu,CJB
CJC,Calama,CJC
CJD,Candilejas,CJD
CJJ,Cheongju International Airport,CJJ
CJM,Chumphon,CJM
CJS,Ciudad Juarez Intl,CJS
CJU,Cheju,CJU
CKB,Benedium,CKB
CKD,Crooked Creek,CKD
CKG,Chongqing,CKG
CKK,CHEROKEE,CKK
CKS,Carajas,CKS
CKY,Conakry,CKY
CKZ,Canakkale,CKZ
CLD,Carlsbad,CLD
CLE,Hopkins Int'l,CLE
CLJ,Cluj,CLJ
CLL,Easterwood Field,CLL
CLM,Fairchild Int'l,CLM
CLO,Alfonso B. Aragon,CLO
CLP,Clarks Point,CLP
CLQ,Colima,CLQ
CLT,Douglas,CLT
CLV,Caldas Novas Airport,CLV
CLY,Ste Catherine,CLY
CMA,Camarillo Airport,CMA
CMB,Katunayake,CMB
CMD,Cootamundra Airport,CMD
CME,Ciudad Del Carmen,CME
CMF,Chambery,CMF
CMG,Corumba Int'l,CMG
CMH,Port Columbus Int'l,CMH
CMI,Willard University,CMI
CMJ,Chi Mei,CMJ
CMN,Mohamed V,CAS
CMP,Santana Do Aragua,CMP
CMQ,Clermont,CMQ
CMR,Colmar-Houssen,CMR
CMU,Chimbu,CMU
CMW,Ign Agramonte Int'l,CMW
CMX,Houghton County,CMX
CNC,Coconut Island,CNC
CND,Kogalniceanu,CND
CNF,Tancredo Neves Int'l,BHZ
CNJ,Cloncurry,CNJ
CNM,Carlsbad,CNM
CNN,Kannur,KZZ
CNO,Chino,CNO
CNQ,Camba Punta,CNQ
CNS,Cairns,CNS
CNW,James Connall,ACT
CNX,Chiang Mai Int'l,CNX
CNY,Canyonlands Field,CNY
COC,Concordia,COC
COD,Yellowstone Regional,COD
COE,Coeur D'Alene,COE
COG,Condoto,COG
COH,Cooch Behar,COH
COJ,Coonabarabran,COJ
COK,Cochin,COK
CON,Concord,CON
COO,Cotonou,COO
COR,Pajas Blancas,COR
COS,Colorado Springs,COS
COU,Columbia Regional,COU
CPA,A. Tubman,CPA
CPB,Capurgana,CPB
CPC,San Martin de Los Andes,CPC
CPD,Coober Pedy,CPD
CPE,Campeche Int'l,CPE
CPH,Copenhagen,CPH
CPM,Compton,CPM
CPN,Cape Rodney,CPN
CPO,Chamonate,CPO
CPQ,Campinas Int'l,CPQ
CPR,Casper,CPR
CPT,International,CPT
CPV,Joao Suassuna,CPV
CPX,Culebra,CPX
CQM,Ciudad Real,CQM
CQT,Caquetania,CQT
CRA,Craiova Airport,CRA
CRD,Cdro  Rivadavia,CRD
CRF,Carnot,CRF
CRI,Crooked Island,CRI
CRK,Clark International Airport,CRK
CRL,Brussels S. Charleroi,BRU
CRM,Catarman National Airport,CRM
CRN,Cromarty Airport,CRN
CRP,Corpus Christi Int'l,CRP
CRQ,Caravelas,CRQ
CRU,Carriacou Is,CRU
CRV,crotone airport,CRV
CRW,Yeager,CRW
CSB,Caransebes,CSB
CSG,Columbus,CSG
CSK,Cap Skirring,CSK
CSL,O’Sullivan AAF,CSL
CSN,Carson City,CSN
CSO,Cochstedt,CSO
CST,Castaway,CST
CSX,Changsha,CSX
CSY,Cheboksary Airport,CSY
CTA,Fontanarossa,CTA
CTC,Catamarca,CTC
CTG,Rafael Nunez,CTG
CTL,Charleville,CTL
CTM,Chetumal,CTM
CTN,Cooktown,CTN
CTS,Chitose,SPK
CTU,Chengdu,CTU
CUC,Cucuta,CUC
CUE,Cuenca,CUE
CUF,Levaldige,CUF
CUL,Fedl De Bachigualato,CUL
CUM,Cumana,CUM
CUN,Cancun,CUN
CUP,Carupano,CUP
CUQ,Coen,CUQ
CUR,Aeropuerto Hato,CUR
CUT,Cutral,CUT
CUU,Gen Fierro Villalobos,CUU
CUY,Cue,CUY
CUZ,Velazco Astete,CUZ
CVF,Courchevel,CVF
CVG,Cincinnati/Northern Kentucky,CVG
CVJ,General Mariano Matamoros Airport,CVJ
CVL,Cape Vogel,CVL
CVM,Ciudad Victoria,CVM
CVN,Clovis Municipal,CVN
CVQ,Carnarvon,CVQ
CVR,Hughes,CVR
CVT,Coventry West Midlands Intl Airport,CVT
CWA,Central Wisonsin,AUW
CWB,Afonso Pena,CWB
CWC,Chernovtsy Airport,CWC
CWL,Cardiff,CWL
CWT,Cowra,CWT
CXA,Caicara De Oro,CXA
CXB,Cox's Bazar,CXB
CXH,Coal Harbour,YVR
CXI,Christmas Island,CXI
CXJ,Campo Dos Bugres,CXJ
CXL,Calexico Internatioanl,CXL
CXP,Tunggul Wulung,CXP
CXR,Cam Ranh International Airport,CXR
CXT,Charters Towers,CXT
CYB,Gerrard-Smith,CYB
CYC,Caye Chapel,CYC
CYG,Corryong,CYG
CYO,Vilo Acuna Airport,CYO
CYP,Calbayog,CYP
CYR,Colonia,CYR
CYS,Cheyenne,CYS
CYZ,Cauayan Airport,CYZ
CZE,Coro,CZE
CZH,Corozal,CZH
CZL,Ain El Bey,CZL
CZM,Cozumel,CZM
CZS,Campo Int'l,CZS
CZU,Corozal,CZU
CZX,Changzhou,CZX
DAB,Daytona Beach Regional,DAB
DAC,Hazrat Shahjalal International Airport,DAC
DAD,Da Nang,DAD
DAL,Love Field,DFW
DAM,Damascus Int'l,DAM
DAN,Danville Municipal,DAN
DAR,Dar Es Salaam Int'l,DAR
DAU,Daru,DAU
DAV,Enrique Malek,DAV
DAY,James Cox Dayton Int'l,DAY
DBB,Alalamain - Dabaa Intl Airport,DBB
DBD,DHANBAD,DBD
DBM,Debra Marcos,DBM
DBO,Dubbo,DBO
DBP,Debepare,DBP
DBQ,Dubuque Municipal,DBQ
DBT,Debra Tabor,DBT
